tid,toi,pl_orbper,pl_tranmid,tfopwg_disp
467179528,1266.01,10.8948421,2459649.751299,CP
467179528,1266.02,18.8016111,2459630.046434,CP
158561566,1267.01,6.7900981,2459425.412816,KP
142394656,1268.01,8.157721,2460359.607231,CP
198241702,1269.01,4.2529641,2458686.60881,CP
198241702,1269.02,9.2378703,2459739.097032,PC
234523599,127.01,3.7955178,2458325.650603,CP
237200747,1270.01,14.3034613,2459695.445887,FP
286923464,1271.01,6.1349783,2459657.449461,KP
417948359,1272.01,3.3159772,2459661.401357,CP
445859771,1273.01,4.6313014,2459684.920137,CP
459969957,1274.01,19.3203478,2459736.340774,PC
13499636,1275.01,11.3246821,2458714.596964,FA
43064903,1276.01,6.261169,2459770.682182,FA
153949511,1277.01,,2458729.542462,FA
